Kategorie	Titel	Personen	Prozent	Jahr	Kommentar	Quelle
Allgemein	Ausländeranteil	12324195		2022		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-2010130227005.html
Allgemein	Millionäre	1646000		2023	Anlagefähiges Vermögen von mindestens einer Million Dollar	https://www.tagesschau.de/wirtschaft/reiche-vermoegen-studie-100.html
Allgemein	Einkommensmillionäre	29345		2023		https://www.destatis.de/DE/Themen/Staat/Steuern/Lohnsteuer-Einkommensteuer/_inhalt.html
Allgemein	Wohnen zur Miete		52.4	2023		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-2010130227005.html
Allgemein	Wohnungslos	439500		2023		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Soziales/Wohnungslosigkeit/_inhalt.html
Allgemein	geflüchtete Syrer	712000		2023		https://www.destatis.de/DE/Presse/Pressemitteilungen/2024/12/PD24_N062_12.html
Allgemein	geflüchtete Ukrainer	982700		2023		https://www.destatis.de/DE/Presse/Pressemitteilungen/2024/12/PD24_N062_12.html
Allgemein	Bürgergeldempfänger	5500000	2023	https://www.tagesschau.de/inland/innenpolitik/buergergeld-162.html
Allgemein Maximalsanktionierte BGE	1258	2023	https://www.tagesschau.de/inland/innenpolitik/buergergeld-162.html
Demografie	18-64	50773278		2023		https://www-genesis.destatis.de/datenbank/online/table/12411-0005/
Demografie	65+	18708597		2023		https://www-genesis.destatis.de/datenbank/online/table/12411-0005/
Demografie	Kinder geboren	689834		2023		https://www-genesis.destatis.de/datenbank/online/table/12411-0005/
Demografie	Todesfälle	1028206		2023	vorläufig	https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Tabellen/sonderauswertung-sterbefaelle.html?nn=209016
Demografie	0-17	13974170		2023		https://www-genesis.destatis.de/datenbank/online/table/12411-0005/
Berufe	Erwerbstätige	45600000		2022		https://www.destatis.de/DE/Presse/Pressemitteilungen/2023/01/PD23_001_13321.html
Berufe	Steuerpflichtige	42000000		2023	68% der Renten waren auch steuerpflichtig	https://www.destatis.de/DE/Themen/Staat/Steuern/Lohnsteuer-Einkommensteuer/_inhalt.html
Berufe	Rentenempfänger	22100000		2023		https://www.destatis.de/DE/Themen/Staat/Steuern/Lohnsteuer-Einkommensteuer/_inhalt.html
Berufe	Arbeitslose	2787112		2024		https://www.destatis.de/DE/Themen/Wirtschaft/Konjunkturindikatoren/Lange-Reihen/Arbeitsmarkt/lrarb003ga.html
Berufe	Handwerk	5400000		2021		https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Handwerk/aktuell-struktur-handwerk.html
Berufe	Studenten	2900000		2022		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bildung-Forschung-Kultur/Hochschulen/_inhalt.html
Berufe	Beamte	1748600		2022		https://www.destatis.de/DE/Themen/Staat/Oeffentlicher-Dienst/Tabellen/beschaeftigte-geschlecht.html?nn=212936
Berufe	Doktortitel	862000		2019		https://www.academics.de/ratgeber/promotion-statistik
Berufe	Landwirtschaft	665400		2020	Arbeitskräfte in landwirtschaftlichen Betrieben, ohne Saisonarbeiter	https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftszaehlung2020/Ergebnisse/Tabellen/arbeitskraefte-in-landwirtschaftlichen-betrieben.html
Berufe	Ärzte	416120		2021		https://www.bundesaerztekammer.de/baek/ueber-uns/aerztestatistik/2021#
Berufe	Polizisten	279400		2022		https://de.statista.com/statistik/daten/studie/1246865/umfrage/beschaeftigte-im-aufgabenbereich-polizei-nach-bundeslaendern/
